                      7.35621877182594e+00 [untagged_block:100%]                                          
                        5.45163769895820e+00 [untagged_block:100%]                                                                  2.1878052131048560e+00 [untagged_block:100%]                                                                 -4.4071365666994744e+00 []                                                                   -4.21704053395369e+00 [untagged_block:100%]                                                                    3.40958180424106e+00 [untagged_block:100%]                                            
                      -3.71969376184957e+00 [untagged_block:100%]                                           
                       -2.852151985200e+00 [untagged_block:100%]                                          
                        1.731011138444e+00 [untagged_block:100%]                                          
                       -5.717736013408e+00 [untagged_block:100%]                                          
                      4.42150712204894e+00 [untagged_block:100%]                                          
                       -5.414447227033e+00 [untagged_block:100%]                                          
                        9.6840263365173e+00 [untagged_block:100%]                                           
                         2.945246604643e+00 [untagged_block:100%]                                           
                       6.99389332561610e+00 [untagged_block:100%]                                           
                      -4.36416963881056e+00 [untagged_block:100%]                                           
                        -5.164767902114e+00 [untagged_block:100%]                                           
                        2.975668785397e+00 [untagged_block:100%]                                                                -4.8228915990943e+00 [untagged_block:100%]                                                                 -2.959203187044e+00 [untagged_block:100%]                                                                -1.4720548876113e+00 [untagged_block:100%]                                                                   3.38049305800e-01 [untagged_block:100%]                                          
                      6.584501639272e+00 [untagged_block:100%]                                        
                       -6.895664161299e-03 [untagged_block:100%]                                          
                         -9.2997777341e+00 [untagged_block:100%]                                          
                      -1.3129719514170e+01 [untagged_block:99%]                                          
                   -3.3017579097295657e+00 []                                          
                      -7.5117959467765e+00 [untagged_block:100%]                                          
                      4.8487958998551e+00 [untagged_block:100%]                                         
                        -8.9239530264e+00 [untagged_block:100%]                                         
                       1.572320587088e+00 [untagged_block:100%]                                         
                  -4.5851115084921945e+00 []                                         
                       8.881257564128e-01 [untagged_block:100%]                                         
                      -4.48432312118160e+00 [untagged_block:100%]                                                                       2.286265396e-01 [untagged_block:100%]                                                                  -1.1183525602676e+00 [untagged_block:99%]                                                               -2.9179480019624782e+00 []                                                                    1.947619069290e+00 [untagged_block:99%]                                           
                      2.2270782946175e+01 [untagged_block:100%]                                         
                      -9.07196981219680e+00 [untagged_block:100%]                                           
                    -2.8736910763199663e+00 []                                           
                    -3.3017579097295657e+00 []                                           
                         1.349675507470e+00 [untagged_block:100%]                                           
                        -1.371575761174e+00 [untagged_block:100%]                                           
                      -9.14326138382577e+00 [untagged_block:100%]                                           
                    -7.1308288235349648e+00 []                                           
                    -4.5851115084921945e+00 []                                           
                        1.6417118227944e+00 [untagged_block:100%]                                           
                         1.426489276134e+00 [untagged_block:100%]                                           
                        1.76568783722e+00 [untagged_block:100%]                                                           -1.7218135264067982e+00 []                                                           -2.9179480019624782e+00 []                                                               1.3789638979031e+00 [untagged_block:100%]                                                                1.304188164860e+00 [untagged_block:100%]                                         
                      -3.6242717656275e+00 [untagged_block:100%]                                          
                    -2.8736910763199663e+00 []                                           
                        1.8335930244553e-02 [untagged_block:99%]                                           
                        -8.018166671212e-02 [untagged_block:100%]                                           
                      -2.08169834717192e+00 [untagged_block:100%]                                           
                        -1.464801975151e+00 [untagged_block:100%]                                           
                    -7.1308288235349648e+00 []                                           
                       1.63933712319113e+00 [untagged_block:100%]                                           
                       -1.2177641047696e+00 [untagged_block:100%]                                           
                       -2.0546315219559e+00 [untagged_block:100%]                                           
                      -1.28533267495977e+01 [untagged_block:100%]                                           
                    -1.7218135264067982e+00 []                                                                   4.2579584029052e+00 [untagged_block:100%]                                                                  9.45854837588862e-01 [untagged_block:100%]                                                                  2.95843770097321e+00 [untagged_block:100%]                                                                 -2.27656542900426e-01 [untagged_block:100%]                                           
                      -6.4822311667902e+00 [untagged_block:100%]                                          
                       2.30056217550470e+00 [untagged_block:100%]                                           
                       3.07686702427075e+00 [untagged_block:100%]                                           
                        3.5551000287959e+00 [untagged_block:100%]                                           
                       1.28705627430349e+01 [untagged_block:100%]                                           
                      8.439522886213483e+00 [untagged_block:100%]                                           
                        -1.0055498597852e+00 [untagged_block:100%]                                            
                        3.05185058399286e+00 [untagged_block:100%]                                            
                         5.9387721935000e+00 [untagged_block:100%]                                            
                       -5.22885941091445e+00 [untagged_block:99%]                                            
                      -8.757642037401343e+00 [untagged_block:100%]                                            
                       4.70858378083803e+00 [untagged_block:100%]                                                                   4.1609792905963e+00 [untagged_block:100%]                                                                 -3.56214643574101e+00 [untagged_block:100%]                                                                  -7.8983748872502e-01 [untagged_block:100%]                                                                  -5.7763852848246e+00 [untagged_block:100%]                                           
                      8.9909893054756e+00 [untagged_block:100%]                                         
                        7.8049422893299e-01 [untagged_block:100%]                                           
                      -6.67434840209534e+00 [untagged_block:100%]                                           
                      6.370809166422008e+00 [untagged_block:100%]                                           
                        -2.089214783646e+01 [untagged_block:100%]                                           
                       -2.9622913228508e+00 [untagged_block:100%]                                           
                        -2.4550010969022e+00 [untagged_block:100%]                                            
                         3.8436691505082e+00 [untagged_block:100%]                                            
                      -6.336637234671817e+00 [untagged_block:100%]                                            
                          1.199122573973e+01 [untagged_block:100%]                                            
                       -2.97608141358690e+00 [untagged_block:100%]                                            
                       -4.6695443844020e-01 [untagged_block:99%]                                                                 -8.77197577211513e+00 [untagged_block:100%]                                                                  -2.9404909168567e+00 [untagged_block:100%]                                                                    2.801551420919e+00 [untagged_block:100%]                                                                  -1.5500990026676e+00 [untagged_block:100%]                                           
                      6.00482254846102e-01 [untagged_block:100%]                                          
                    5.1835245472881262e+00 []                                          
                        -2.14691501877e-01 [untagged_block:100%]                                          
                      -1.0636669408092e+00 [untagged_block:100%]                                          
                   -2.1501566023021290e+00 []                                          
                       4.2571932694747e+00 [untagged_block:100%]                                          
                   -5.6731017425687957e+00 []                                          
                      -1.4896062748680e+00 [untagged_block:100%]                                          
                      4.85320406393598e+00 [untagged_block:100%]                                          
                   -8.4709803877741550e+00 []                                          
                       4.1987880967460e+00 [untagged_block:100%]                                          
                   4.0010477776055442e+00 []                                                               2.3778476116589e-01 [untagged_block:99%]                                                              5.41399349766974e+00 [untagged_block:99%]                                                           -2.4696227098207357e+00 []                                                               1.3710346606387e+00 [untagged_block:100%]                                         
                      -3.15339011462341e+01 [untagged_block:100%]                                           
                       -3.2820821217930e+00 [untagged_block:100%]                                           
                      -5.45031240898544e+00 [untagged_block:100%]                                           
                    -2.1501566023021290e+00 []                                           
                        2.3209823738323e+00 [untagged_block:100%]                                           
                         1.187247876087e+00 [untagged_block:100%]                                           
                       8.5785309189945e+00 [untagged_block:100%]                                          
                      5.41005948192398e+00 [untagged_block:100%]                                          
                   -8.4709803877741550e+00 []                                          
                       4.1040537330366e+00 [untagged_block:100%]                                          
                       1.3384092779287e+00 [untagged_block:100%]                                          
                       1.46742186398021e+00 [untagged_block:100%]                                                                  -1.9893091519122e+00 [untagged_block:100%]                                                               -2.4696227098207357e+00 []                                                                 -2.34497906464998e+00 [untagged_block:100%]                                                                 -4.25714458570956e-01 [untagged_block:100%]                                           
                     8.8696591615919e+00 [untagged_block:99%]                                        
                       -1.4160394284175e+00 [untagged_block:100%]                                           
                       1.53849384485389e+00 [untagged_block:100%]                                           
                      5.638176961542303e+00 [untagged_block:100%]                                           
                       -1.1167029108214e+01 [untagged_block:100%]                                           
                       5.80254680861554e+00 [untagged_block:100%]                                           
                       5.8536352746933e+00 [untagged_block:100%]                                          
                      9.35774426214870e+00 [untagged_block:100%]                                          
                      5.65709219637551e+00 [untagged_block:100%]                                          
                      1.12044345873679e+01 [untagged_block:100%]                                          
                      8.28355812130622e+00 [untagged_block:100%]                                          
                      -1.86442290246911e+00 [untagged_block:100%]                                                                 -4.67562538276946e+00 [untagged_block:100%]                                                                -3.526263943853530e+00 [untagged_block:99%]                                                                  1.82154008851171e+00 [untagged_block:100%]                                                                 7.729119342388973e+00 [untagged_block:100%]                                           
                      -9.31857756364783e+00 [untagged_block:100%]                                           
                       -2.6742024799543e+00 [untagged_block:100%]                                           
                       -1.0474431158527e+00 [untagged_block:100%]                                           
                       -1.0141208637601e+00 [untagged_block:100%]                                           
                       -8.1462843139058e+00 [untagged_block:100%]                                           
                      -2.70033693377633e+00 [untagged_block:100%]                                           
                       8.25015598786893e+00 [untagged_block:100%]                                           
                       1.05884433688190e+00 [untagged_block:100%]                                           
                       1.34490833408347e+01 [untagged_block:100%]                                           
                       -2.9098789348725e+00 [untagged_block:100%]                                           
                      -8.67546595221010e-01 [untagged_block:100%]                                           
                      -4.17590625612243e+00 [untagged_block:100%]                                                                   8.6948594335792e+00 [untagged_block:100%]                                                                  1.85780416525679e+00 [untagged_block:100%]                                                                 -1.30404415025894e+00 [untagged_block:100%]                                                                   3.7375129295595e+00 [untagged_block:100%]                                           
                      6.9650091321919e-01 [untagged_block:100%]                                         
                       -3.45397330439e-01 [untagged_block:100%]                                         
                  -2.2219186361149701e+00 []                                         
                      -1.079438810839e+01 [untagged_block:100%]                                         
                      3.7394149472759e+00 [untagged_block:99%]                                         
                       5.686178336443e+00 [untagged_block:100%]                                         
                       1.5451446179203e+00 [untagged_block:100%]                                          
                   -6.4503759208918199e+00 []                                          
                       -7.060778506438e+00 [untagged_block:100%]                                          
                       8.5940185569714e+00 [untagged_block:100%]                                          
                      3.77408117705616e+00 [untagged_block:100%]                                          
                        1.0422638854442e+01 [untagged_block:100%]                                                                4.5443768588472544e+00 []                                                                   -2.120055808754e+00 [untagged_block:100%]                                                                 -5.21427675767863e+00 [untagged_block:100%]                                                                   4.0616051630628e+00 [untagged_block:99%]                                           
                      1.3910064858524e+01 [untagged_block:100%]                                         
                   -2.2219186361149701e+00 []                                          
                      1.12407340646492e+00 [untagged_block:100%]                                          
                      4.15778213775877e+00 [untagged_block:100%]                                          
                      2.31846154234223e+00 [untagged_block:100%]                                          
                       5.4490974190367e+00 [untagged_block:100%]                                          
                    -6.4503759208918199e+00 []                                           
                      4.307456805824204e+00 [untagged_block:100%]                                           
                      7.936992506598576e+00 [untagged_block:100%]                                           
                      4.933546160699367e+00 [untagged_block:100%]                                           
                       -7.9850586211531e+00 [untagged_block:99%]                                           
                      4.5443768588472544e+00 []                                                                   -6.55061271811743e+00 [untagged_block:100%]                                                                  -4.883001262476830e+00 [untagged_block:100%]                                                                    1.19640483128290e+01 [untagged_block:100%]                                                                    -6.6223590231588e-02 [untagged_block:100%]                                            
                      8.44764114478453e+00 [untagged_block:100%]                                          
                      3.09342138061667e+00 [untagged_block:100%]                                          
                       5.5574478772857e+00 [untagged_block:100%]                                          
                       7.5013331187710e-01 [untagged_block:99%]                                          
                      3.43957437197273e+00 [untagged_block:100%]                                          
                      5.07248543882571e+00 [untagged_block:100%]                                          
                        6.88660178537007e+00 [untagged_block:100%]                                            
                         5.5586991852296e+00 [untagged_block:100%]                                            
                         2.4156173776994e+00 [untagged_block:100%]                                            
                        4.95436793161318e+00 [untagged_block:100%]                                            
                      8.6568187014607432e+00 [untagged_block:100%]                                            
                      -1.070384123767524e+01 [untagged_block:100%]                                                                   -6.14030100641207e+00 [untagged_block:100%]                                                                    5.73000399784460e+00 [untagged_block:100%]                                                                    7.94913603349042e+00 [untagged_block:100%]                                                                    7.03172912591948e+00 [untagged_block:100%]                                            
                      -5.7516677016026e+00 [untagged_block:100%]                                          
                       1.4239555939950e-01 [untagged_block:100%]                                          
                      -5.6527692166992e+00 [untagged_block:100%]                                          
                   -2.6091416962499236e+00 []                                          
                        -1.04973220857e+01 [untagged_block:100%]                                          
                    5.7398269709806016e+00 []                                          
                      4.6268018933574e+00 [untagged_block:100%]                                         
                      2.3993844092636e+00 [untagged_block:100%]                                         
                  -2.8674900751266152e+00 []                                         
                        4.51764838574e+00 [untagged_block:100%]                                         
                  -5.9243169794400519e+00 []                                         
                        5.5904217223358e+00 [untagged_block:100%]                                                                 -9.19321297513340e+00 [untagged_block:100%]                                                               -6.7888423887199112e+00 []                                                                     5.01453300581e+00 [untagged_block:100%]                                                                1.6531673249718537e+00 []                                           
                      -2.59276160356907e+01 [untagged_block:100%]                                           
                    -1.0026343811468585e+00 []                                           
                     4.4688853990883146e+00 []                                           
                        1.0213513752642e+01 [untagged_block:100%]                                           
                        3.0435886370967e+00 [untagged_block:100%]                                           
                      6.897756477520701e+00 [untagged_block:100%]                                           
                    -1.6314331862177625e+00 []                                           
                    -4.8513190086353797e+00 []                                           
                        1.2690501021380e+00 [untagged_block:100%]                                           
                       2.41547080817464e-01 [untagged_block:100%]                                           
                      7.560400589335782e-01 [untagged_block:100%]                                           
                     8.0953626508381760e-01 []                                                                5.9807919448817835e+00 []                                                                  3.24763722328059e+00 [untagged_block:100%]                                                                  4.79605108768103e+00 [untagged_block:100%]                                                                 -6.91564004757052e+00 [untagged_block:100%]                                           
                      4.553412200762555e-01 [untagged_block:100%]                                           
                      4.4688853990883146e+00 []                                            
                        -2.0844442895046e+01 [untagged_block:100%]                                            
                        1.91117802788943e+00 [untagged_block:100%]                                            
                      -4.784675757065284e+00 [untagged_block:100%]                                            
                       -5.45951812949200e+00 [untagged_block:100%]                                            
                    -4.8513190086353797e+00 []                                           
                        2.0819122564457e+01 [untagged_block:100%]                                           
                      -1.81476045119259e+00 [untagged_block:100%]                                           
                      -5.09844495685294e+00 [untagged_block:100%]                                           
                       6.70836906651581e+00 [untagged_block:100%]                                           
                      5.9807919448817835e+00 []                                                                     2.2676118572864e+00 [untagged_block:100%]                                                                     -1.426007609243e+00 [untagged_block:100%]                                                                     -1.343933185207e+00 [untagged_block:100%]                                                                  -8.672043644262283e+00 [untagged_block:100%]                                            
                      1.14675820290874e+01 [untagged_block:100%]                                          
                         2.495344137971e-01 [untagged_block:100%]                                           
                       8.82388518603162e+00 [untagged_block:100%]                                           
                      -5.06321899890050e+00 [untagged_block:100%]                                           
                    -2.2391259832084254e+00 []                                           
                     7.0366649882464003e+00 []                                           
                          2.65702717188e+00 [untagged_block:100%]                                           
                      -8.47421963432380e+00 [untagged_block:100%]                                           
                      -4.81187246712400e+00 [untagged_block:100%]                                           
                    -6.9390363699226709e+00 []                                           
                    -8.3138675775554773e+00 []                                           
                        3.382456197469e-01 [untagged_block:100%]                                                                -2.4138472328978e-01 [untagged_block:100%]                                                                  3.358069906344e-01 [untagged_block:100%]                                                             -5.9365030448802569e+00 []                                                             -9.8713967355145904e+00 []                                          
                      -3.98727802438e-01 [untagged_block:100%]                                        
